Tell|The dear|Who shops around|That half a buck|Buys half a pound|Burma-Shave|1941|x
She kissed|The hairbrush|By mistake|She thought it was|Her husband Jake|Burma-Shave|1941|x
He used|Umbrella|For parachute|Now rejects|Every substitute|Burma-Shave|1941|x
Don't stick|Your elbow|Out so far|It might go home|In another car|Burma-Shave|1941|x
Soldier|Sailor|And marine|Now get a shave|That's quick and clean|Burma-Shave|1941|x
Remember this|If you'd|Be spared|Trains don't whistle|Because they're scared|Burma-Shave|1941|x
When better|Shaving brushes|Are made|We'll still shave|Without their aid|Burma-Shave|1941|x
When junior takes|Your ties|And car|It's time to buy|An extra jar|Burma-Shave|1941|x
Gets each|Whisker|At the base|No ingrown hair|On neck or face|Burma-Shave|1941|x
If man bites doggie|That is news|If face|Scares doggie|Better use|Burma-Shave|1941|x
At intersections|Look each way|A harp sounds nice|But it's|Hard to play|Burma-Shave|1941|x
Life is sweet|But oh how bitter!|To love a gal|And then|Not git 'er|Burma-Shave|1941|x
Trains don't wander|All over the map|For no one|Sits on|The engineer's lap|Burma-Shave|1941|x
When Peter Piper|Pickle picker|Kissed his gal|His beard|Would prick 'er|Burma-Shave|1941|x
The answer to|A maiden's prayer|Is a man|Most anywhere|Using|Burma-Shave|1941|x
Rhyme and reason|Every season|You've read|The rhyme|Now try the reason|Burma-Shave|1941|x
Wild|Dashes|From by-ways|Cause crashes|On highways|Burma-Shave|1941|x
Substitutes|Resemble|Tail-chasing pup|Follow and follow|But never catch up|Burma-Shave|1941|x
From|Bar|To Car|To|Gates ajar|Burma-Shave|1941|x
If every sip|Fills you|With zip|Then your sipper|Needs a zipper|Burma-Shave|1941|x
Broken romance|Stated fully|She went wild|When he|Went wooly|Burma-Shave|1941|x
Pa likes the cream|Ma likes the jar|Both like|The price|So there you are|Burma-Shave|1942|x
Brother speeders|Let's|Rehearse|All together|"Good morning, Nurse!"|Burma-Shave|1942|x
'Mid rising|Taxes|Soaring rents|Still half a pound|For fifty cents|Burma-Shave|1942|x
Approached|A crossing|Without looking|Who will eat|His widow's cooking?|Burma-Shave|1942|x
Drove too long|Driver snoozing|What happened next|Is not|Amusing|Burma-Shave|1942|x
Stores are full|Of shaving aids|But all you need|Is this|And blades|Burma-Shave|1942|x
Pa acted|So tickled|Ma thot|He was pickled|He'd just tried|Burma-Shave|1942|x
Iceman's grandson|Now full grown|Has cooling system|All his own|He uses|Burma-Shave|1942|x
If you|Don't know|Whose signs|These are|You can't have|Driven very far|Burma-Shave|1942|x
Let's make Hitler|And Hirohito|Look as sick as|Old Benito|Buy defense bonds|Burma-Shave|1942|x
Can't shave daily?|Tender hide?|Now be honest|Have you|Tried|Burma-Shave|1942|x
There's no whisker|It won't soften|Shave 'em close|And not|So often|Burma-Shave|1942|x
If hugging|On highways|Is your sport|Trade in your car|For a davenport|Burma-Shave|1942|x
Shaving brush|In army pack|Was straw that broke|The rookie's back|Use brushless|Burma-Shave|1942|x
A girl|Should hold on|To her youth|But not|When he's driving|Burma-Shave|1942|x
Maybe you can't|Shoulder a gun|But you can shoulder|The cost of one|Buy defense bonds|Burma-Shave|1942|x
Of all|The drunks|Who drive on Sunday|Some are still|Alive on Monday|Burma-Shave|1942|x
"At ease," she said|"Maneuvers begin|When you get|Those whiskers|Off your chin"|Burma-Shave|1942|x
Substitutes|Like unseen barter|Often make one|Sad|But smarter|Burma-Shave|1942|x
Traveling men|Know ease|And speed|Their shaving kits|Hold what they need|Burma-Shave|1942|x
What you shouted|May be true,|But|Did you hear|What he called you?|Burma-Shave|1942|x
Buying defense bonds|Means money lent|So they|Don't cost you|One red cent|Burma-Shave|1942|x
To most brush shavers|It's quite clear|The yanks aren't coming|The yanks are here|Use brushless|Burma-Shave|1942|x
Every shaver|Now can snore|Six more minutes|Than before|By using|Burma-Shave|1943|x
One pound jar  85c|Half pound jar 50c|Big tube 35c|Don't put it off|Put it on|Burma-Shave|1943|x
Half a pound|For|Half a dollar|Spread on thin|Above the collar|Burma-Shave|1943|x
Shaving brushes|You'll soon see 'em|On the shelf|In some|Museum|Burma-Shave|1943|x
Does your husband|Misbehave|Grunt and grumble|Rant and rave|Shoot the brute some|Burma-Shave|1943|x
It's a good|Old Spanish custom|Take your mug|And brush|And bust 'em|Burma-Shave|1943|x
Early to bed|Early to rise|Was meant for those|Old fashioned guys|Who don't use|Burma-Shave|1943|x
Within this vale|Of toil|And sin|Your head grows bald|But not your chin -- Use|Burma-Shave|1943|x
The cannoneers|With hairy ears|On wiry whiskers|Used tin shears|Until they found|Burma-Shave|1943|x
Film protects|Your neck|And chin|So your razor|Won't dig in|Burma-Shave|1943|x
Tho tough|And rough|From wind and wave|Your cheek grows sleek|With|Burma-Shave|1943|x
