\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
§%§L=>02\\3   MSGSTOP|02|MSG-Anzeige aus     |MSG-Empfang an, Anzeige jedoch aus         
§%§L=>02\\3   MSGTEIL|02|MSG-Empfang teils   |MSG-Empfang nur für laufende Dialoge       
§%§L=>20\\3        MU|20|Multi-Chat          |Multi-Chat betreten                        
§%§L=>99§%§SYSOP\\3MULTIPORTS|99|Multi-Login-Ports   |Startet die Unterstützung für MultiPort-Bet
\\3      NEWS|00|Neue Eintraege      |Neue Eintraege anzeigen                    
\\3       NON|00|Non-Stop            |Non-Stop aktivieren                        
\\3        OP|00|Sysop-Rufen         |Sysop rufen (Sysop-Chat anfordern)         
§%§L=>10\\3        PA|10|Passwort aendern    |Passwort fuer den Login aendern            
§%§L=>20\\3     PAUSE|20|Pause aktivieren    |Abwesenheit schalten                   [min
§%§L=>99\\3       PDM|99|PullDownMenü        |PullDownMenü testen                        
\\3        PM|00|Ins Postfach gehen  |Das Postfach starten (Brett verlassen)     
\\3       POR|00|Portliste           |Portliste aufrufen (alle Ports anzeigen)   
§%§L=>80§%§GR_3\\3 PORTRESET|80|Port neu Starten    |Port neu starten                           
\\3     PORTS|00|Rufnummern der Box  |Alle Rufnummern der Box mit Baudrate/Modem 
§%§L=>02\\3      POST|02|Postfach starten    |In das Postfach wechseln (Brett verlassen) 
§%§L=>02\\3        PR|02|Privat Chat         |Privat-Chat eroeffnen                      
§%§L=>20\\3       PRO|20|Protokoll anzeigen  |Anruferprotokoll der Box anzeigen          
§%§L=>10\\3      PROF|10|Profi-Modus an/aus  |Profi-Modus an/aus (Dauerhilfen)           
§%§L=>80§%§GR_3\\3      PROT|80|Protokoll-Menü      |Alle Protokolle der Box in 4 Versionen aufr
§%§L=>20\\3     PROTO|20|Protokoll anzeigen  |Anruferprotokoll der Box anzeigen          
\\3         Q|00|Quit (Box verlassen)|Box verlassen, Verbindung beenden          
